상권_코드_명_x,엑스좌표_값,와이좌표_값,서비스_업종_코드_명,분기당_매출_금액
배화여자대학교(박노수미술관),197093,453418,인테리어,1158013
배화여자대학교(박노수미술관),197093,453418,화초,269950454
배화여자대학교(박노수미술관),197093,453418,섬유제품,25673386
배화여자대학교(박노수미술관),197093,453418,화장품,11350771
배화여자대학교(박노수미술관),197093,453418,문구,9405646
배화여자대학교(박노수미술관),197093,453418,서적,4531525353
배화여자대학교(박노수미술관),197093,453418,의약품,1126880793
배화여자대학교(박노수미술관),197093,453418,시계및귀금속,65000000
배화여자대학교(박노수미술관),197093,453418,안경,113999486
배화여자대학교(박노수미술관),197093,453418,가방,24000000
배화여자대학교(박노수미술관),197093,453418,신발,24000000
배화여자대학교(박노수미술관),197093,453418,일반의류,451574363
배화여자대학교(박노수미술관),197093,453418,반찬가게,25137782
배화여자대학교(박노수미술관),197093,453418,청과상,690079314
배화여자대학교(박노수미술관),197093,453418,수산물판매,73215712
배화여자대학교(박노수미술관),197093,453418,육류판매,74961063
배화여자대학교(박노수미술관),197093,453418,미곡판매,266878834
배화여자대학교(박노수미술관),197093,453418,핸드폰,18856588
배화여자대학교(박노수미술관),197093,453418,편의점,1532025251
배화여자대학교(박노수미술관),197093,453418,슈퍼마켓,1923621242
배화여자대학교(박노수미술관),197093,453418,노래방,51666994
배화여자대학교(박노수미술관),197093,453418,여관,63184778
배화여자대학교(박노수미술관),197093,453418,세탁소,20053589
배화여자대학교(박노수미술관),197093,453418,피부관리실,2987235
배화여자대학교(박노수미술관),197093,453418,미용실,153691441
배화여자대학교(박노수미술관),197093,453418,자동차미용,163676103
배화여자대학교(박노수미술관),197093,453418,자동차수리,349338378
배화여자대학교(박노수미술관),197093,453418,한의원,170110231
배화여자대학교(박노수미술관),197093,453418,치과의원,436017415
배화여자대학교(박노수미술관),197093,453418,일반의원,689212647
배화여자대학교(박노수미술관),197093,453418,스포츠 강습,37177111
배화여자대학교(박노수미술관),197093,453418,예술학원,154593095
배화여자대학교(박노수미술관),197093,453418,일반교습학원,886454371
배화여자대학교(박노수미술관),197093,453418,커피-음료,7153373994
배화여자대학교(박노수미술관),197093,453418,호프-간이주점,1479481546
배화여자대학교(박노수미술관),197093,453418,분식전문점,395544396
배화여자대학교(박노수미술관),197093,453418,치킨전문점,175511721
배화여자대학교(박노수미술관),197093,453418,패스트푸드점,134902998
배화여자대학교(박노수미술관),197093,453418,제과점,652381999
배화여자대학교(박노수미술관),197093,453418,양식음식점,2375610966
배화여자대학교(박노수미술관),197093,453418,일식음식점,1190836728
배화여자대학교(박노수미술관),197093,453418,중식음식점,267070198
배화여자대학교(박노수미술관),197093,453418,한식음식점,12006565864
자하문터널,196991,455057,서적,6754031
자하문터널,196991,455057,일반의류,18132290
자하문터널,196991,455057,편의점,242502085
자하문터널,196991,455057,슈퍼마켓,7783633
자하문터널,196991,455057,미용실,3711859
자하문터널,196991,455057,자동차수리,44335872
자하문터널,196991,455057,예술학원,72113594
자하문터널,196991,455057,커피-음료,240272454
자하문터널,196991,455057,호프-간이주점,4517949
자하문터널,196991,455057,패스트푸드점,140090106
자하문터널,196991,455057,제과점,314056176
자하문터널,196991,455057,양식음식점,376915714
자하문터널,196991,455057,한식음식점,372490407
평창동서측,197064,456643,화초,5183472
평창동서측,197064,456643,문구,12492885
평창동서측,197064,456643,서적,205988433
평창동서측,197064,456643,의약품,256288675
평창동서측,197064,456643,안경,278019932
평창동서측,197064,456643,일반의류,32697454
평창동서측,197064,456643,청과상,241811278
평창동서측,197064,456643,육류판매,343336892
평창동서측,197064,456643,슈퍼마켓,884888899
평창동서측,197064,456643,세탁소,77109828
평창동서측,197064,456643,미용실,22668543
평창동서측,197064,456643,당구장,3314208
평창동서측,197064,456643,치과의원,211342904
평창동서측,197064,456643,일반의원,100503813
평창동서측,197064,456643,스포츠 강습,131646539
평창동서측,197064,456643,예술학원,74161172
평창동서측,197064,456643,일반교습학원,506004993
평창동서측,197064,456643,커피-음료,776155746
평창동서측,197064,456643,호프-간이주점,31679596
평창동서측,197064,456643,분식전문점,44565358
평창동서측,197064,456643,치킨전문점,55167068
평창동서측,197064,456643,패스트푸드점,284394280
평창동서측,197064,456643,제과점,232853969
평창동서측,197064,456643,양식음식점,18344995
평창동서측,197064,456643,일식음식점,12212490
평창동서측,197064,456643,중식음식점,210860173
평창동서측,197064,456643,한식음식점,46178349
정독도서관,198581,453781,인테리어,7563113
정독도서관,198581,453781,화초,9305794
정독도서관,198581,453781,섬유제품,3000000
정독도서관,198581,453781,화장품,1373221958
정독도서관,198581,453781,시계및귀금속,84696226
정독도서관,198581,453781,가방,39538472
정독도서관,198581,453781,신발,294647687
정독도서관,198581,453781,일반의류,4647607263
정독도서관,198581,453781,반찬가게,48430127
정독도서관,198581,453781,편의점,584006033
정독도서관,198581,453781,슈퍼마켓,121180186
정독도서관,198581,453781,미용실,20264684
정독도서관,198581,453781,한의원,26313792
정독도서관,198581,453781,치과의원,32086502
정독도서관,198581,453781,일반교습학원,546778
정독도서관,198581,453781,커피-음료,3906899923
정독도서관,198581,453781,분식전문점,467681191
정독도서관,198581,453781,치킨전문점,112753036
정독도서관,198581,453781,패스트푸드점,98446063
정독도서관,198581,453781,제과점,400566033
정독도서관,198581,453781,양식음식점,1596195834
정독도서관,198581,453781,일식음식점,24416601
정독도서관,198581,453781,한식음식점,4940902903
중앙고등학교,198883,453690,인테리어,7563113
중앙고등학교,198883,453690,섬유제품,3000000
중앙고등학교,198883,453690,시계및귀금속,75724736
중앙고등학교,198883,453690,가방,38987406
중앙고등학교,198883,453690,일반의류,577654910
중앙고등학교,198883,453690,반찬가게,1035000000
중앙고등학교,198883,453690,육류판매,408762726
중앙고등학교,198883,453690,편의점,909520074
중앙고등학교,198883,453690,슈퍼마켓,102794662
중앙고등학교,198883,453690,미용실,77743970
중앙고등학교,198883,453690,자동차수리,150320734
중앙고등학교,198883,453690,한의원,160697431
중앙고등학교,198883,453690,일반교습학원,129546778
중앙고등학교,198883,453690,커피-음료,3409591861
중앙고등학교,198883,453690,호프-간이주점,212209391
중앙고등학교,198883,453690,분식전문점,459191486
중앙고등학교,198883,453690,치킨전문점,112753036
중앙고등학교,198883,453690,패스트푸드점,442737943
중앙고등학교,198883,453690,제과점,449279488
중앙고등학교,198883,453690,양식음식점,2027939927
중앙고등학교,198883,453690,일식음식점,447000000
중앙고등학교,198883,453690,중식음식점,147353196
중앙고등학교,198883,453690,한식음식점,7078162004
창덕궁,199222,452926,전자상거래업,3256448603
창덕궁,199222,452926,가전제품,2642480
창덕궁,199222,452926,화초,20611599
창덕궁,199222,452926,의약품,21790206
창덕궁,199222,452926,시계및귀금속,46323293781
창덕궁,199222,452926,일반의류,104782169
창덕궁,199222,452926,편의점,1683275252
창덕궁,199222,452926,슈퍼마켓,270240958
창덕궁,199222,452926,고시원,2008368
창덕궁,199222,452926,여관,554777094
창덕궁,199222,452926,미용실,58522666
창덕궁,199222,452926,자동차수리,34424220
창덕궁,199222,452926,한의원,56265214
창덕궁,199222,452926,일반의원,216480619
창덕궁,199222,452926,스포츠 강습,16743254
창덕궁,199222,452926,커피-음료,2652207674
창덕궁,199222,452926,호프-간이주점,3613009027
창덕궁,199222,452926,분식전문점,453845655
창덕궁,199222,452926,패스트푸드점,669198945
창덕궁,199222,452926,제과점,179223565
창덕궁,199222,452926,양식음식점,1828566303
창덕궁,199222,452926,일식음식점,284407255
창덕궁,199222,452926,중식음식점,187946949
창덕궁,199222,452926,한식음식점,11418304502
서울국제고등학교,199598,454302,인테리어,47640952
서울국제고등학교,199598,454302,철물점,7906820
서울국제고등학교,199598,454302,운동/경기용품,130899
서울국제고등학교,199598,454302,화장품,10529046
서울국제고등학교,199598,454302,문구,20042623
서울국제고등학교,199598,454302,의약품,317201119
서울국제고등학교,199598,454302,안경,62282423
서울국제고등학교,199598,454302,일반의류,11259655
서울국제고등학교,199598,454302,육류판매,155239728
서울국제고등학교,199598,454302,편의점,1013125815
서울국제고등학교,199598,454302,슈퍼마켓,881486845
서울국제고등학교,199598,454302,노래방,13800417
서울국제고등학교,199598,454302,가전제품수리,156205762
서울국제고등학교,199598,454302,세탁소,165018853
서울국제고등학교,199598,454302,미용실,61695507
서울국제고등학교,199598,454302,자동차수리,424049396
서울국제고등학교,199598,454302,PC방,13496491
서울국제고등학교,199598,454302,당구장,10932870
서울국제고등학교,199598,454302,한의원,119445656
서울국제고등학교,199598,454302,치과의원,281318524
서울국제고등학교,199598,454302,일반의원,226782075
서울국제고등학교,199598,454302,스포츠 강습,81991265
서울국제고등학교,199598,454302,예술학원,108838509
서울국제고등학교,199598,454302,외국어학원,882054
서울국제고등학교,199598,454302,일반교습학원,93989384
서울국제고등학교,199598,454302,커피-음료,116703868
서울국제고등학교,199598,454302,호프-간이주점,180731639
서울국제고등학교,199598,454302,분식전문점,102991144
서울국제고등학교,199598,454302,치킨전문점,71826910
서울국제고등학교,199598,454302,패스트푸드점,38096117
서울국제고등학교,199598,454302,제과점,262871573
서울국제고등학교,199598,454302,양식음식점,191524434
서울국제고등학교,199598,454302,일식음식점,15687296
서울국제고등학교,199598,454302,중식음식점,30438207
서울국제고등학교,199598,454302,한식음식점,2098466427
이북5도청사,196262,456660,일반의류,7627685
이북5도청사,196262,456660,육류판매,173718426
이북5도청사,196262,456660,미곡판매,3543700
