상권_코드_명_x,엑스좌표_값,와이좌표_값,서비스_업종_코드_명,분기당_매출_금액,점포수
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,인테리어,1158013,6
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,화초,269950454,21
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,섬유제품,25673386,7
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,화장품,11350771,17
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,문구,9405646,7
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,서적,4531525353,21
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,의약품,1126880793,13
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,시계및귀금속,65000000,4
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,안경,113999486,*
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,가방,24000000,9
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,신발,24000000,5
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,일반의류,451574363,45
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,반찬가게,25137782,23
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,청과상,690079314,7
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,수산물판매,73215712,6
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,육류판매,74961063,9
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,미곡판매,266878834,7
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,핸드폰,18856588,6
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,편의점,1532025251,15
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,슈퍼마켓,1923621242,28
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,노래방,51666994,5
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,여관,63184778,5
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,세탁소,20053589,4
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,피부관리실,2987235,8
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,미용실,153691441,19
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,자동차미용,163676103,*
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,자동차수리,349338378,*
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,한의원,170110231,3
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,치과의원,436017415,3
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,일반의원,689212647,6
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,스포츠 강습,37177111,13
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,예술학원,154593095,12
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,일반교습학원,886454371,17
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,커피-음료,7153373994,84
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,호프-간이주점,1479481546,26
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,분식전문점,395544396,39
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,치킨전문점,175511721,3
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,패스트푸드점,134902998,16
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,제과점,652381999,19
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,양식음식점,2375610966,55
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,일식음식점,1190836728,23
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,중식음식점,267070198,7
배화여자대학교(박노수미술관),126.96498633845582,37.58305897698348,한식음식점,12006565864,170
자하문터널,126.96382467820949,37.59782578109843,서적,6754031,3
자하문터널,126.96382467820949,37.59782578109843,일반의류,18132290,11
자하문터널,126.96382467820949,37.59782578109843,편의점,242502085,5
자하문터널,126.96382467820949,37.59782578109843,슈퍼마켓,7783633,5
자하문터널,126.96382467820949,37.59782578109843,미용실,3711859,*
자하문터널,126.96382467820949,37.59782578109843,자동차수리,44335872,*
자하문터널,126.96382467820949,37.59782578109843,예술학원,72113594,*
자하문터널,126.96382467820949,37.59782578109843,커피-음료,240272454,14
자하문터널,126.96382467820949,37.59782578109843,호프-간이주점,4517949,3
자하문터널,126.96382467820949,37.59782578109843,패스트푸드점,140090106,6
자하문터널,126.96382467820949,37.59782578109843,제과점,314056176,*
자하문터널,126.96382467820949,37.59782578109843,양식음식점,376915714,10
자하문터널,126.96382467820949,37.59782578109843,한식음식점,372490407,13
평창동서측,126.96464480527462,37.61211560360714,화초,5183472,4
평창동서측,126.96464480527462,37.61211560360714,문구,12492885,7
평창동서측,126.96464480527462,37.61211560360714,서적,205988433,4
평창동서측,126.96464480527462,37.61211560360714,의약품,256288675,3
평창동서측,126.96464480527462,37.61211560360714,안경,278019932,*
평창동서측,126.96464480527462,37.61211560360714,일반의류,32697454,22
평창동서측,126.96464480527462,37.61211560360714,청과상,241811278,*
평창동서측,126.96464480527462,37.61211560360714,육류판매,343336892,4
평창동서측,126.96464480527462,37.61211560360714,슈퍼마켓,884888899,12
평창동서측,126.96464480527462,37.61211560360714,세탁소,77109828,5
평창동서측,126.96464480527462,37.61211560360714,미용실,22668543,13
평창동서측,126.96464480527462,37.61211560360714,당구장,3314208,*
평창동서측,126.96464480527462,37.61211560360714,치과의원,211342904,3
평창동서측,126.96464480527462,37.61211560360714,일반의원,100503813,*
평창동서측,126.96464480527462,37.61211560360714,스포츠 강습,131646539,7
평창동서측,126.96464480527462,37.61211560360714,예술학원,74161172,9
평창동서측,126.96464480527462,37.61211560360714,일반교습학원,506004993,30
평창동서측,126.96464480527462,37.61211560360714,커피-음료,776155746,12
평창동서측,126.96464480527462,37.61211560360714,호프-간이주점,31679596,3
평창동서측,126.96464480527462,37.61211560360714,분식전문점,44565358,10
평창동서측,126.96464480527462,37.61211560360714,치킨전문점,55167068,*
평창동서측,126.96464480527462,37.61211560360714,패스트푸드점,284394280,4
평창동서측,126.96464480527462,37.61211560360714,제과점,232853969,*
평창동서측,126.96464480527462,37.61211560360714,양식음식점,18344995,5
평창동서측,126.96464480527462,37.61211560360714,일식음식점,12212490,3
평창동서측,126.96464480527462,37.61211560360714,중식음식점,210860173,3
평창동서측,126.96464480527462,37.61211560360714,한식음식점,46178349,20
정독도서관,126.98183187787396,37.58633315396305,인테리어,7563113,8
정독도서관,126.98183187787396,37.58633315396305,화초,9305794,13
정독도서관,126.98183187787396,37.58633315396305,섬유제품,3000000,3
정독도서관,126.98183187787396,37.58633315396305,화장품,1373221958,18
정독도서관,126.98183187787396,37.58633315396305,시계및귀금속,84696226,9
정독도서관,126.98183187787396,37.58633315396305,가방,39538472,13
정독도서관,126.98183187787396,37.58633315396305,신발,294647687,3
정독도서관,126.98183187787396,37.58633315396305,일반의류,4647607263,55
정독도서관,126.98183187787396,37.58633315396305,반찬가게,48430127,14
정독도서관,126.98183187787396,37.58633315396305,편의점,584006033,5
정독도서관,126.98183187787396,37.58633315396305,슈퍼마켓,121180186,27
정독도서관,126.98183187787396,37.58633315396305,미용실,20264684,5
정독도서관,126.98183187787396,37.58633315396305,한의원,26313792,*
정독도서관,126.98183187787396,37.58633315396305,치과의원,32086502,*
정독도서관,126.98183187787396,37.58633315396305,일반교습학원,546778,3
정독도서관,126.98183187787396,37.58633315396305,커피-음료,3906899923,69
정독도서관,126.98183187787396,37.58633315396305,분식전문점,467681191,25
정독도서관,126.98183187787396,37.58633315396305,치킨전문점,112753036,*
정독도서관,126.98183187787396,37.58633315396305,패스트푸드점,98446063,4
정독도서관,126.98183187787396,37.58633315396305,제과점,400566033,13
정독도서관,126.98183187787396,37.58633315396305,양식음식점,1596195834,26
정독도서관,126.98183187787396,37.58633315396305,일식음식점,24416601,4
정독도서관,126.98183187787396,37.58633315396305,한식음식점,4940902903,46
중앙고등학교,126.98525124358292,37.58551369414897,인테리어,7563113,7
중앙고등학교,126.98525124358292,37.58551369414897,섬유제품,3000000,3
중앙고등학교,126.98525124358292,37.58551369414897,시계및귀금속,75724736,8
중앙고등학교,126.98525124358292,37.58551369414897,가방,38987406,9
중앙고등학교,126.98525124358292,37.58551369414897,일반의류,577654910,18
중앙고등학교,126.98525124358292,37.58551369414897,반찬가게,1035000000,14
중앙고등학교,126.98525124358292,37.58551369414897,육류판매,408762726,*
중앙고등학교,126.98525124358292,37.58551369414897,편의점,909520074,7
중앙고등학교,126.98525124358292,37.58551369414897,슈퍼마켓,102794662,28
중앙고등학교,126.98525124358292,37.58551369414897,미용실,77743970,7
중앙고등학교,126.98525124358292,37.58551369414897,자동차수리,150320734,3
중앙고등학교,126.98525124358292,37.58551369414897,한의원,160697431,*
중앙고등학교,126.98525124358292,37.58551369414897,일반교습학원,129546778,9
중앙고등학교,126.98525124358292,37.58551369414897,커피-음료,3409591861,64
중앙고등학교,126.98525124358292,37.58551369414897,호프-간이주점,212209391,*
중앙고등학교,126.98525124358292,37.58551369414897,분식전문점,459191486,28
중앙고등학교,126.98525124358292,37.58551369414897,치킨전문점,112753036,*
중앙고등학교,126.98525124358292,37.58551369414897,패스트푸드점,442737943,9
중앙고등학교,126.98525124358292,37.58551369414897,제과점,449279488,14
중앙고등학교,126.98525124358292,37.58551369414897,양식음식점,2027939927,20
중앙고등학교,126.98525124358292,37.58551369414897,일식음식점,447000000,6
중앙고등학교,126.98525124358292,37.58551369414897,중식음식점,147353196,*
중앙고등학교,126.98525124358292,37.58551369414897,한식음식점,7078162004,70
창덕궁,126.98909020970049,37.57863053270831,전자상거래업,3256448603,67
창덕궁,126.98909020970049,37.57863053270831,가전제품,2642480,4
창덕궁,126.98909020970049,37.57863053270831,화초,20611599,5
창덕궁,126.98909020970049,37.57863053270831,의약품,21790206,3
창덕궁,126.98909020970049,37.57863053270831,시계및귀금속,46323293781,399
창덕궁,126.98909020970049,37.57863053270831,일반의류,104782169,35
창덕궁,126.98909020970049,37.57863053270831,편의점,1683275252,14
창덕궁,126.98909020970049,37.57863053270831,슈퍼마켓,270240958,34
창덕궁,126.98909020970049,37.57863053270831,고시원,2008368,*
창덕궁,126.98909020970049,37.57863053270831,여관,554777094,20
창덕궁,126.98909020970049,37.57863053270831,미용실,58522666,5
창덕궁,126.98909020970049,37.57863053270831,자동차수리,34424220,*
창덕궁,126.98909020970049,37.57863053270831,한의원,56265214,4
창덕궁,126.98909020970049,37.57863053270831,일반의원,216480619,*
창덕궁,126.98909020970049,37.57863053270831,스포츠 강습,16743254,3
창덕궁,126.98909020970049,37.57863053270831,커피-음료,2652207674,68
창덕궁,126.98909020970049,37.57863053270831,호프-간이주점,3613009027,32
창덕궁,126.98909020970049,37.57863053270831,분식전문점,453845655,42
창덕궁,126.98909020970049,37.57863053270831,패스트푸드점,669198945,7
창덕궁,126.98909020970049,37.57863053270831,제과점,179223565,13
창덕궁,126.98909020970049,37.57863053270831,양식음식점,1828566303,47
창덕궁,126.98909020970049,37.57863053270831,일식음식점,284407255,14
창덕궁,126.98909020970049,37.57863053270831,중식음식점,187946949,8
창덕궁,126.98909020970049,37.57863053270831,한식음식점,11418304502,133
서울국제고등학교,126.99334593614877,37.591028363275065,인테리어,47640952,5
서울국제고등학교,126.99334593614877,37.591028363275065,철물점,7906820,6
서울국제고등학교,126.99334593614877,37.591028363275065,운동/경기용품,130899,*
서울국제고등학교,126.99334593614877,37.591028363275065,화장품,10529046,6
서울국제고등학교,126.99334593614877,37.591028363275065,문구,20042623,4
서울국제고등학교,126.99334593614877,37.591028363275065,의약품,317201119,6
서울국제고등학교,126.99334593614877,37.591028363275065,안경,62282423,3
