상권_코드_명_x,엑스좌표_값,와이좌표_값,서비스_업종_코드_명,분기당_매출_금액,점포수
배화여자대학교(박노수미술관),197093,453418,인테리어,1158013,6
배화여자대학교(박노수미술관),197093,453418,화초,269950454,21
배화여자대학교(박노수미술관),197093,453418,섬유제품,25673386,7
배화여자대학교(박노수미술관),197093,453418,화장품,11350771,17
배화여자대학교(박노수미술관),197093,453418,문구,9405646,7
배화여자대학교(박노수미술관),197093,453418,서적,4531525353,21
배화여자대학교(박노수미술관),197093,453418,의약품,1126880793,13
배화여자대학교(박노수미술관),197093,453418,시계및귀금속,65000000,4
배화여자대학교(박노수미술관),197093,453418,안경,113999486,*
배화여자대학교(박노수미술관),197093,453418,가방,24000000,9
배화여자대학교(박노수미술관),197093,453418,신발,24000000,5
배화여자대학교(박노수미술관),197093,453418,일반의류,451574363,45
배화여자대학교(박노수미술관),197093,453418,반찬가게,25137782,23
배화여자대학교(박노수미술관),197093,453418,청과상,690079314,7
배화여자대학교(박노수미술관),197093,453418,수산물판매,73215712,6
배화여자대학교(박노수미술관),197093,453418,육류판매,74961063,9
배화여자대학교(박노수미술관),197093,453418,미곡판매,266878834,7
배화여자대학교(박노수미술관),197093,453418,핸드폰,18856588,6
배화여자대학교(박노수미술관),197093,453418,편의점,1532025251,15
배화여자대학교(박노수미술관),197093,453418,슈퍼마켓,1923621242,28
배화여자대학교(박노수미술관),197093,453418,노래방,51666994,5
배화여자대학교(박노수미술관),197093,453418,여관,63184778,5
배화여자대학교(박노수미술관),197093,453418,세탁소,20053589,4
배화여자대학교(박노수미술관),197093,453418,피부관리실,2987235,8
배화여자대학교(박노수미술관),197093,453418,미용실,153691441,19
배화여자대학교(박노수미술관),197093,453418,자동차미용,163676103,*
배화여자대학교(박노수미술관),197093,453418,자동차수리,349338378,*
배화여자대학교(박노수미술관),197093,453418,한의원,170110231,3
배화여자대학교(박노수미술관),197093,453418,치과의원,436017415,3
배화여자대학교(박노수미술관),197093,453418,일반의원,689212647,6
배화여자대학교(박노수미술관),197093,453418,스포츠 강습,37177111,13
배화여자대학교(박노수미술관),197093,453418,예술학원,154593095,12
배화여자대학교(박노수미술관),197093,453418,일반교습학원,886454371,17
배화여자대학교(박노수미술관),197093,453418,커피-음료,7153373994,84
배화여자대학교(박노수미술관),197093,453418,호프-간이주점,1479481546,26
배화여자대학교(박노수미술관),197093,453418,분식전문점,395544396,39
배화여자대학교(박노수미술관),197093,453418,치킨전문점,175511721,3
배화여자대학교(박노수미술관),197093,453418,패스트푸드점,134902998,16
배화여자대학교(박노수미술관),197093,453418,제과점,652381999,19
배화여자대학교(박노수미술관),197093,453418,양식음식점,2375610966,55
배화여자대학교(박노수미술관),197093,453418,일식음식점,1190836728,23
배화여자대학교(박노수미술관),197093,453418,중식음식점,267070198,7
배화여자대학교(박노수미술관),197093,453418,한식음식점,12006565864,170
자하문터널,196991,455057,서적,6754031,3
자하문터널,196991,455057,일반의류,18132290,11
자하문터널,196991,455057,편의점,242502085,5
자하문터널,196991,455057,슈퍼마켓,7783633,5
자하문터널,196991,455057,미용실,3711859,*
자하문터널,196991,455057,자동차수리,44335872,*
자하문터널,196991,455057,예술학원,72113594,*
자하문터널,196991,455057,커피-음료,240272454,14
자하문터널,196991,455057,호프-간이주점,4517949,3
자하문터널,196991,455057,패스트푸드점,140090106,6
자하문터널,196991,455057,제과점,314056176,*
자하문터널,196991,455057,양식음식점,376915714,10
자하문터널,196991,455057,한식음식점,372490407,13
평창동서측,197064,456643,화초,5183472,4
평창동서측,197064,456643,문구,12492885,7
평창동서측,197064,456643,서적,205988433,4
평창동서측,197064,456643,의약품,256288675,3
평창동서측,197064,456643,안경,278019932,*
평창동서측,197064,456643,일반의류,32697454,22
평창동서측,197064,456643,청과상,241811278,*
평창동서측,197064,456643,육류판매,343336892,4
평창동서측,197064,456643,슈퍼마켓,884888899,12
평창동서측,197064,456643,세탁소,77109828,5
평창동서측,197064,456643,미용실,22668543,13
평창동서측,197064,456643,당구장,3314208,*
평창동서측,197064,456643,치과의원,211342904,3
평창동서측,197064,456643,일반의원,100503813,*
평창동서측,197064,456643,스포츠 강습,131646539,7
평창동서측,197064,456643,예술학원,74161172,9
평창동서측,197064,456643,일반교습학원,506004993,30
평창동서측,197064,456643,커피-음료,776155746,12
평창동서측,197064,456643,호프-간이주점,31679596,3
평창동서측,197064,456643,분식전문점,44565358,10
평창동서측,197064,456643,치킨전문점,55167068,*
평창동서측,197064,456643,패스트푸드점,284394280,4
평창동서측,197064,456643,제과점,232853969,*
평창동서측,197064,456643,양식음식점,18344995,5
평창동서측,197064,456643,일식음식점,12212490,3
평창동서측,197064,456643,중식음식점,210860173,3
평창동서측,197064,456643,한식음식점,46178349,20
정독도서관,198581,453781,인테리어,7563113,8
정독도서관,198581,453781,화초,9305794,13
정독도서관,198581,453781,섬유제품,3000000,3
정독도서관,198581,453781,화장품,1373221958,18
정독도서관,198581,453781,시계및귀금속,84696226,9
정독도서관,198581,453781,가방,39538472,13
정독도서관,198581,453781,신발,294647687,3
정독도서관,198581,453781,일반의류,4647607263,55
정독도서관,198581,453781,반찬가게,48430127,14
정독도서관,198581,453781,편의점,584006033,5
정독도서관,198581,453781,슈퍼마켓,121180186,27
정독도서관,198581,453781,미용실,20264684,5
정독도서관,198581,453781,한의원,26313792,*
정독도서관,198581,453781,치과의원,32086502,*
정독도서관,198581,453781,일반교습학원,546778,3
정독도서관,198581,453781,커피-음료,3906899923,69
정독도서관,198581,453781,분식전문점,467681191,25
정독도서관,198581,453781,치킨전문점,112753036,*
정독도서관,198581,453781,패스트푸드점,98446063,4
정독도서관,198581,453781,제과점,400566033,13
정독도서관,198581,453781,양식음식점,1596195834,26
정독도서관,198581,453781,일식음식점,24416601,4
정독도서관,198581,453781,한식음식점,4940902903,46
중앙고등학교,198883,453690,인테리어,7563113,7
중앙고등학교,198883,453690,섬유제품,3000000,3
중앙고등학교,198883,453690,시계및귀금속,75724736,8
중앙고등학교,198883,453690,가방,38987406,9
중앙고등학교,198883,453690,일반의류,577654910,18
중앙고등학교,198883,453690,반찬가게,1035000000,14
중앙고등학교,198883,453690,육류판매,408762726,*
중앙고등학교,198883,453690,편의점,909520074,7
중앙고등학교,198883,453690,슈퍼마켓,102794662,28
중앙고등학교,198883,453690,미용실,77743970,7
중앙고등학교,198883,453690,자동차수리,150320734,3
중앙고등학교,198883,453690,한의원,160697431,*
중앙고등학교,198883,453690,일반교습학원,129546778,9
중앙고등학교,198883,453690,커피-음료,3409591861,64
중앙고등학교,198883,453690,호프-간이주점,212209391,*
중앙고등학교,198883,453690,분식전문점,459191486,28
중앙고등학교,198883,453690,치킨전문점,112753036,*
중앙고등학교,198883,453690,패스트푸드점,442737943,9
중앙고등학교,198883,453690,제과점,449279488,14
중앙고등학교,198883,453690,양식음식점,2027939927,20
중앙고등학교,198883,453690,일식음식점,447000000,6
중앙고등학교,198883,453690,중식음식점,147353196,*
중앙고등학교,198883,453690,한식음식점,7078162004,70
창덕궁,199222,452926,전자상거래업,3256448603,67
창덕궁,199222,452926,가전제품,2642480,4
창덕궁,199222,452926,화초,20611599,5
창덕궁,199222,452926,의약품,21790206,3
창덕궁,199222,452926,시계및귀금속,46323293781,399
창덕궁,199222,452926,일반의류,104782169,35
창덕궁,199222,452926,편의점,1683275252,14
창덕궁,199222,452926,슈퍼마켓,270240958,34
창덕궁,199222,452926,고시원,2008368,*
창덕궁,199222,452926,여관,554777094,20
창덕궁,199222,452926,미용실,58522666,5
창덕궁,199222,452926,자동차수리,34424220,*
창덕궁,199222,452926,한의원,56265214,4
창덕궁,199222,452926,일반의원,216480619,*
창덕궁,199222,452926,스포츠 강습,16743254,3
창덕궁,199222,452926,커피-음료,2652207674,68
창덕궁,199222,452926,호프-간이주점,3613009027,32
창덕궁,199222,452926,분식전문점,453845655,42
창덕궁,199222,452926,패스트푸드점,669198945,7
창덕궁,199222,452926,제과점,179223565,13
창덕궁,199222,452926,양식음식점,1828566303,47
창덕궁,199222,452926,일식음식점,284407255,14
창덕궁,199222,452926,중식음식점,187946949,8
창덕궁,199222,452926,한식음식점,11418304502,133
서울국제고등학교,199598,454302,인테리어,47640952,5
서울국제고등학교,199598,454302,철물점,7906820,6
서울국제고등학교,199598,454302,운동/경기용품,130899,*
서울국제고등학교,199598,454302,화장품,10529046,6
서울국제고등학교,199598,454302,문구,20042623,4
서울국제고등학교,199598,454302,의약품,317201119,6
서울국제고등학교,199598,454302,안경,62282423,3
서울국제고등학교,199598,454302,일반의류,11259655,12
서울국제고등학교,199598,454302,육류판매,155239728,4
서울국제고등학교,199598,454302,편의점,1013125815,16
서울국제고등학교,199598,454302,슈퍼마켓,881486845,15
서울국제고등학교,199598,454302,노래방,13800417,*
서울국제고등학교,199598,454302,가전제품수리,156205762,*
서울국제고등학교,199598,454302,세탁소,165018853,11
서울국제고등학교,199598,454302,미용실,61695507,12
서울국제고등학교,199598,454302,자동차수리,424049396,4
서울국제고등학교,199598,454302,PC방,13496491,*
서울국제고등학교,199598,454302,당구장,10932870,*
서울국제고등학교,199598,454302,한의원,119445656,*
서울국제고등학교,199598,454302,치과의원,281318524,*
서울국제고등학교,199598,454302,일반의원,226782075,*
서울국제고등학교,199598,454302,스포츠 강습,81991265,5
서울국제고등학교,199598,454302,예술학원,108838509,8
서울국제고등학교,199598,454302,외국어학원,882054,*
서울국제고등학교,199598,454302,일반교습학원,93989384,9
서울국제고등학교,199598,454302,커피-음료,116703868,32
서울국제고등학교,199598,454302,호프-간이주점,180731639,4
서울국제고등학교,199598,454302,분식전문점,102991144,14
서울국제고등학교,199598,454302,치킨전문점,71826910,5
서울국제고등학교,199598,454302,패스트푸드점,38096117,7
서울국제고등학교,199598,454302,제과점,262871573,4
서울국제고등학교,199598,454302,양식음식점,191524434,11
서울국제고등학교,199598,454302,일식음식점,15687296,5
서울국제고등학교,199598,454302,중식음식점,30438207,9
서울국제고등학교,199598,454302,한식음식점,2098466427,61
이북5도청사,196262,456660,일반의류,7627685,6
이북5도청사,196262,456660,육류판매,173718426,3
이북5도청사,196262,456660,미곡판매,3543700,3
이북5도청사,196262,456660,편의점,318386990,3
이북5도청사,196262,456660,노래방,27458887,*
이북5도청사,196262,456660,여관,48175862,*
이북5도청사,196262,456660,세탁소,6179907,*
이북5도청사,196262,456660,미용실,145524074,8
이북5도청사,196262,456660,PC방,44566209,*
이북5도청사,196262,456660,당구장,16956147,*
이북5도청사,196262,456660,한의원,67404460,*
이북5도청사,196262,456660,일반의원,221148546,*
이북5도청사,196262,456660,일반교습학원,47135947,6
이북5도청사,196262,456660,커피-음료,2849056,3
이북5도청사,196262,456660,호프-간이주점,259016624,8
이북5도청사,196262,456660,분식전문점,153627808,5
이북5도청사,196262,456660,제과점,113516931,*
이북5도청사,196262,456660,한식음식점,880008619,26
독립문역 1번,196220,452912,철물점,396105161,*
독립문역 1번,196220,452912,화장품,200567154,19
독립문역 1번,196220,452912,문구,5224569,*
독립문역 1번,196220,452912,의약품,3843065375,7
독립문역 1번,196220,452912,청과상,308187648,*
독립문역 1번,196220,452912,편의점,1737276617,7
독립문역 1번,196220,452912,노래방,7596062,*
독립문역 1번,196220,452912,미용실,36601154,5
독립문역 1번,196220,452912,자동차수리,412404781,*
독립문역 1번,196220,452912,PC방,155370443,*
독립문역 1번,196220,452912,치과의원,201504833,3
독립문역 1번,196220,452912,예술학원,11449756,5
독립문역 1번,196220,452912,외국어학원,7993232,4
독립문역 1번,196220,452912,일반교습학원,406202413,13
독립문역 1번,196220,452912,커피-음료,11540666,9
독립문역 1번,196220,452912,호프-간이주점,46522322,*
독립문역 1번,196220,452912,치킨전문점,40998661,*
독립문역 1번,196220,452912,패스트푸드점,115712690,*
독립문역 1번,196220,452912,제과점,465048185,4
독립문역 1번,196220,452912,한식음식점,608192952,14
세검정초등학교,196389,455998,일반의류,137634255,20
세검정초등학교,196389,455998,반찬가게,8394846,3
세검정초등학교,196389,455998,육류판매,173718426,3
세검정초등학교,196389,455998,미곡판매,3543700,*
세검정초등학교,196389,455998,편의점,849849528,8
세검정초등학교,196389,455998,노래방,27458887,3
세검정초등학교,196389,455998,여관,49313547,3
세검정초등학교,196389,455998,세탁소,39207451,7
세검정초등학교,196389,455998,미용실,200080383,16
세검정초등학교,196389,455998,PC방,44566209,*
세검정초등학교,196389,455998,당구장,16956147,*
세검정초등학교,196389,455998,한의원,147806857,3
세검정초등학교,196389,455998,일반의원,221148546,3
세검정초등학교,196389,455998,스포츠 강습,131646539,*
세검정초등학교,196389,455998,예술학원,87325165,7
세검정초등학교,196389,455998,일반교습학원,475349997,22
세검정초등학교,196389,455998,커피-음료,124574532,9
세검정초등학교,196389,455998,호프-간이주점,271512038,10
세검정초등학교,196389,455998,분식전문점,253318693,15
세검정초등학교,196389,455998,치킨전문점,31406941,*
세검정초등학교,196389,455998,패스트푸드점,49909864,3
세검정초등학교,196389,455998,제과점,113516931,4
세검정초등학교,196389,455998,한식음식점,941132165,41
대신고등학교,196517,452627,철물점,44136858,4
대신고등학교,196517,452627,문구,5224569,4
대신고등학교,196517,452627,의약품,64868314,4
대신고등학교,196517,452627,일반의류,15000000,5
대신고등학교,196517,452627,반찬가게,33000000,3
대신고등학교,196517,452627,육류판매,300788869,4
대신고등학교,196517,452627,미곡판매,3319573,*
대신고등학교,196517,452627,편의점,180403341,9
대신고등학교,196517,452627,슈퍼마켓,96242043,8
대신고등학교,196517,452627,여관,10742014,*
대신고등학교,196517,452627,미용실,77124247,15
대신고등학교,196517,452627,한의원,118116783,4
대신고등학교,196517,452627,일반의원,803845,3
대신고등학교,196517,452627,예술학원,4487659,7
대신고등학교,196517,452627,일반교습학원,113795050,15
대신고등학교,196517,452627,커피-음료,18697313,14
대신고등학교,196517,452627,호프-간이주점,46522322,*
대신고등학교,196517,452627,분식전문점,4618815,5
대신고등학교,196517,452627,치킨전문점,7691419,5
대신고등학교,196517,452627,한식음식점,571609911,14
동묘앞역 2번,201699,452879,가전제품,3000000,9
동묘앞역 2번,201699,452879,화초,19203072,4
동묘앞역 2번,201699,452879,화장품,147342206,19
동묘앞역 2번,201699,452879,문구,17667917,11
동묘앞역 2번,201699,452879,서적,278488868,19
동묘앞역 2번,201699,452879,의약품,1078532758,13
동묘앞역 2번,201699,452879,시계및귀금속,7773870,9
동묘앞역 2번,201699,452879,안경,160689208,3
동묘앞역 2번,201699,452879,가방,40035237,19
동묘앞역 2번,201699,452879,일반의류,3443293145,127
동묘앞역 2번,201699,452879,반찬가게,18944745,5
동묘앞역 2번,201699,452879,육류판매,942484687,10
동묘앞역 2번,201699,452879,미곡판매,4455196,8
동묘앞역 2번,201699,452879,핸드폰,766284933,21
동묘앞역 2번,201699,452879,편의점,3511468649,25
동묘앞역 2번,201699,452879,슈퍼마켓,1626058466,28
동묘앞역 2번,201699,452879,노래방,267838512,16
동묘앞역 2번,201699,452879,여관,78114868,27
동묘앞역 2번,201699,452879,세탁소,18959420,9
동묘앞역 2번,201699,452879,네일숍,31489245,9
동묘앞역 2번,201699,452879,미용실,196771338,26
동묘앞역 2번,201699,452879,스포츠클럽,25690518,4
동묘앞역 2번,201699,452879,PC방,266748659,5
동묘앞역 2번,201699,452879,당구장,88087838,11
동묘앞역 2번,201699,452879,한의원,128666145,7
동묘앞역 2번,201699,452879,치과의원,2370689189,12
동묘앞역 2번,201699,452879,일반의원,2739643762,14
동묘앞역 2번,201699,452879,스포츠 강습,67878558,*
동묘앞역 2번,201699,452879,예술학원,35892235,9
동묘앞역 2번,201699,452879,외국어학원,145092975,8
동묘앞역 2번,201699,452879,일반교습학원,108479972,8
동묘앞역 2번,201699,452879,커피-음료,379445101,30
동묘앞역 2번,201699,452879,호프-간이주점,271567050,12
동묘앞역 2번,201699,452879,분식전문점,529579400,36
동묘앞역 2번,201699,452879,치킨전문점,232487238,12
동묘앞역 2번,201699,452879,패스트푸드점,747409319,7
동묘앞역 2번,201699,452879,제과점,454265886,9
동묘앞역 2번,201699,452879,양식음식점,52221312,8
동묘앞역 2번,201699,452879,일식음식점,393521005,9
동묘앞역 2번,201699,452879,중식음식점,243869613,10
동묘앞역 2번,201699,452879,한식음식점,5439065142,125
청운초등학교,197219,454141,운동/경기용품,71221654,*
청운초등학교,197219,454141,서적,1348054,*
청운초등학교,197219,454141,슈퍼마켓,7217066,3
청운초등학교,197219,454141,커피-음료,21682188,6
청운초등학교,197219,454141,중식음식점,54221257,*
청운초등학교,197219,454141,한식음식점,366698902,9
성곡미술관,197292,452641,화초,159467324,25
성곡미술관,197292,452641,화장품,135685627,44
성곡미술관,197292,452641,문구,1114768462,21
성곡미술관,197292,452641,서적,41152988,17
성곡미술관,197292,452641,의약품,381222075,21
성곡미술관,197292,452641,시계및귀금속,13470588,9
성곡미술관,197292,452641,안경,147573974,6
성곡미술관,197292,452641,가방,3000000,5
성곡미술관,197292,452641,일반의류,89470642,46
성곡미술관,197292,452641,반찬가게,492000000,31
성곡미술관,197292,452641,미곡판매,252729995,6
성곡미술관,197292,452641,편의점,3742931605,20
성곡미술관,197292,452641,슈퍼마켓,810782391,41
성곡미술관,197292,452641,노래방,106637628,4
성곡미술관,197292,452641,여관,63184778,6
성곡미술관,197292,452641,세탁소,76623795,14
성곡미술관,197292,452641,피부관리실,169362897,20
성곡미술관,197292,452641,네일숍,22665081,11
성곡미술관,197292,452641,미용실,262868459,18
성곡미술관,197292,452641,자동차수리,665011293,5
성곡미술관,197292,452641,스포츠클럽,1226898328,11
성곡미술관,197292,452641,당구장,99348723,10
성곡미술관,197292,452641,한의원,409344447,9
성곡미술관,197292,452641,치과의원,1029694145,12
성곡미술관,197292,452641,일반의원,903929353,26
성곡미술관,197292,452641,스포츠 강습,267088696,16
성곡미술관,197292,452641,예술학원,103593095,8
성곡미술관,197292,452641,일반교습학원,530884353,18
성곡미술관,197292,452641,커피-음료,7797175994,97
성곡미술관,197292,452641,호프-간이주점,1863862034,35
성곡미술관,197292,452641,분식전문점,1632147635,58
성곡미술관,197292,452641,치킨전문점,485714217,6
성곡미술관,197292,452641,패스트푸드점,624068950,16
성곡미술관,197292,452641,제과점,975360048,23
성곡미술관,197292,452641,양식음식점,3326948090,42
성곡미술관,197292,452641,일식음식점,1439034023,28
성곡미술관,197292,452641,중식음식점,1202613882,15
성곡미술관,197292,452641,한식음식점,19848159852,231
체부동홍종문가옥,197340,453202,전자상거래업,191910443,24
체부동홍종문가옥,197340,453202,인테리어,1158013,5
체부동홍종문가옥,197340,453202,화초,269950454,17
체부동홍종문가옥,197340,453202,섬유제품,25673386,4
체부동홍종문가옥,197340,453202,화장품,62237314,9
체부동홍종문가옥,197340,453202,문구,9405646,4
체부동홍종문가옥,197340,453202,서적,294000000,7
체부동홍종문가옥,197340,453202,의료기기,1955917791,3
체부동홍종문가옥,197340,453202,의약품,696434418,6
체부동홍종문가옥,197340,453202,시계및귀금속,65000000,*
체부동홍종문가옥,197340,453202,안경,151489238,*
